mother_has_secondary_education,mother_has_college_education,birth_month_num,birth_month_name,gender,internet_connection,repeated_secondary,score_math,n_students_in_school
0.0,0.0,6,June,Male,Yes,"No, never",620.0144,443.0
1.0,0.0,10,October,Female,Yes,"No, never",524.1827000000001,443.0
0.0,1.0,4,April,Male,Yes,"Yes, once",331.3009,443.0
1.0,1.0,12,December,Male,Yes,"No, never",439.04970000000003,443.0
1.0,1.0,5,May,Female,Yes,"Yes, once",442.7784,443.0
1.0,0.0,7,July,Female,Yes,"No, never",490.66810000000004,443.0
1.0,0.0,12,December,Female,Yes,"No, never",468.48069999999996,443.0
1.0,0.0,8,August,Male,Yes,"No, never",537.8708,443.0
1.0,1.0,7,July,Female,Yes,"No, never",410.58000000000004,443.0
1.0,0.0,6,June,Female,Yes,"Yes, once",479.7178,443.0
0.0,0.0,12,December,Male,Yes,"No, never",508.1179,443.0
1.0,1.0,8,August,Female,Yes,"No, never",476.4616,443.0
1.0,1.0,11,November,Male,Yes,"No, never",556.2518,443.0
1.0,1.0,6,June,Female,Yes,"No, never",435.29740000000004,443.0
1.0,1.0,8,August,Male,Yes,"No, never",602.431,443.0
1.0,0.0,12,December,Male,Yes,"No, never",511.4337999999999,443.0
0.0,0.0,12,December,Male,Yes,"No, never",518.8657,443.0
1.0,1.0,1,January,Male,Yes,"Yes, once",358.6506,443.0
1.0,0.0,3,March,Female,No,"Yes, once",430.07490000000007,443.0
1.0,1.0,12,December,Female,Yes,"No, never",411.63089999999994,443.0
1.0,1.0,7,July,Male,Yes,"Yes, once",407.4081,443.0
1.0,1.0,1,January,Female,Yes,"No, never",443.5874,443.0
1.0,1.0,1,January,Female,Yes,"No, never",550.0887,443.0
0.0,0.0,1,January,Female,Yes,"No, never",390.1536,443.0
1.0,0.0,1,January,Male,Yes,"Yes, once",322.62790000000007,443.0
1.0,1.0,1,January,Male,Yes,"Yes, once",332.268,443.0
0.0,0.0,12,December,Female,Yes,"No, never",470.37789999999995,443.0
1.0,1.0,5,May,Male,Yes,"No, never",381.3442,443.0
1.0,0.0,3,March,Male,Yes,"Yes, once",417.83209999999997,443.0
1.0,0.0,5,May,Female,Yes,"Yes, once",493.0611,443.0
1.0,1.0,7,July,Male,Yes,"No, never",290.34000000000003,443.0
0.0,0.0,11,November,Female,No,"Yes, once",304.835,443.0
1.0,1.0,6,June,Female,Yes,"Yes, once",427.7479,443.0
1.0,0.0,6,June,Male,Yes,"No, never",481.86049999999994,443.0
1.0,1.0,7,July,Female,Yes,"Yes, once",360.50210000000004,443.0
1.0,1.0,1,January,Male,Yes,"No, never",508.7611,1572.0
1.0,0.0,7,July,Female,Yes,"No, never",494.4398,1572.0
1.0,1.0,9,September,Female,Yes,"No, never",525.0244,1572.0
1.0,1.0,5,May,Female,Yes,"No, never",561.2417,1572.0
1.0,1.0,1,January,Male,Yes,"No, never",512.8817999999999,1572.0
1.0,1.0,2,February,Male,Yes,"No, never",416.7644,1572.0
1.0,1.0,8,August,Female,Yes,"No, never",551.5640000000001,1572.0
1.0,1.0,3,March,Male,Yes,"No, never",588.8104999999999,1572.0
1.0,1.0,3,March,Male,Yes,"No, never",524.3464000000001,1572.0
1.0,1.0,7,July,Female,Yes,"No, never",457.04130000000004,1572.0
1.0,1.0,1,January,Male,Yes,"No, never",497.3808,1572.0
1.0,1.0,3,March,Male,Yes,"No, never",463.1934,1572.0
1.0,1.0,2,February,Male,Yes,"No, never",540.0288,1572.0
1.0,1.0,9,September,Female,Yes,"No, never",371.54220000000004,1572.0
1.0,0.0,4,April,Female,Yes,"No, never",591.1598999999999,1572.0
1.0,0.0,2,February,Female,Yes,"No, never",450.2647,1572.0
1.0,1.0,6,June,Female,Yes,"No, never",494.52840000000003,1572.0
1.0,0.0,1,January,Female,Yes,"No, never",594.1818,1572.0
1.0,1.0,11,November,Female,Yes,"No, never",527.3546,1572.0
1.0,1.0,8,August,Female,Yes,"No, never",476.20259999999996,1572.0
1.0,1.0,8,August,Male,Yes,"No, never",557.2166,1572.0
1.0,1.0,1,January,Male,Yes,"No, never",704.6386,1572.0
1.0,1.0,8,August,Female,Yes,"No, never",593.8120999999999,1572.0
1.0,1.0,10,October,Female,Yes,"No, never",395.8154,1572.0
1.0,1.0,9,September,Male,Yes,"No, never",389.742,1572.0
1.0,1.0,4,April,Male,Yes,"No, never",644.9524,1572.0
1.0,1.0,6,June,Male,Yes,"Yes, twice or more",607.8581999999999,1572.0
1.0,1.0,4,April,Male,Yes,"No, never",616.5923,1572.0
1.0,0.0,7,July,Male,Yes,"No, never",464.10209999999995,1572.0
1.0,1.0,8,August,Female,Yes,"No, never",585.714,1572.0
1.0,1.0,8,August,Male,Yes,"No, never",520.0416000000001,1572.0
1.0,1.0,2,February,Female,Yes,"No, never",570.6913999999999,1572.0
1.0,1.0,4,April,Female,Yes,"No, never",522.3263,1572.0
1.0,1.0,4,April,Male,Yes,"No, never",552.9669,1572.0
1.0,1.0,4,April,Female,Yes,"No, never",529.7180000000001,1572.0
1.0,1.0,8,August,Female,Yes,"No, never",486.26509999999996,1572.0
1.0,1.0,8,August,Male,Yes,"No, never",610.0563,1572.0
1.0,1.0,12,December,Male,Yes,"No, never",389.918,1572.0
1.0,1.0,3,March,Female,Yes,"No, never",423.8741999999999,1572.0
1.0,1.0,11,November,Female,Yes,"No, never",624.3664000000001,1572.0
1.0,0.0,12,December,Male,Yes,"No, never",474.4752,1574.0
1.0,1.0,7,July,Male,Yes,"No, never",590.876,1574.0
1.0,1.0,12,December,Female,Yes,"No, never",320.6313,1574.0
1.0,1.0,1,January,Male,Yes,"No, never",533.8257,1574.0
1.0,0.0,2,February,Female,Yes,"Yes, once",407.1260000000001,1574.0
1.0,1.0,3,March,Male,Yes,"No, never",676.4614,1574.0
1.0,1.0,4,April,Female,Yes,"No, never",432.313,1574.0
1.0,1.0,12,December,Female,Yes,"No, never",457.9653,1574.0
1.0,1.0,1,January,Male,Yes,"No, never",544.5417,1574.0
1.0,0.0,11,November,Male,Yes,"No, never",557.2889,1574.0
1.0,1.0,2,February,Female,Yes,"No, never",475.0621,1574.0
1.0,1.0,1,January,Female,Yes,"No, never",552.1922000000001,1574.0
1.0,0.0,3,March,Female,Yes,"No, never",457.49300000000005,1574.0
1.0,0.0,2,February,Female,Yes,"No, never",508.45220000000006,1574.0
1.0,1.0,11,November,Female,Yes,"No, never",532.483,1574.0
1.0,1.0,2,February,Female,Yes,"No, never",531.4638000000001,1574.0
1.0,0.0,5,May,Female,Yes,"No, never",459.1844,1574.0
1.0,1.0,1,January,Female,Yes,"No, never",636.6184999999999,1574.0
1.0,1.0,2,February,Male,Yes,"No, never",521.2556,1574.0
1.0,1.0,11,November,Male,Yes,,402.02,1574.0
1.0,1.0,9,September,Male,Yes,"No, never",497.2233,1574.0
,,4,April,Female,,,426.79560000000004,1574.0
1.0,1.0,4,April,Male,Yes,"No, never",485.1731,1574.0
1.0,0.0,2,February,Male,Yes,"No, never",500.3514,1574.0
1.0,1.0,7,July,Female,No,"No, never",486.97740000000005,1574.0
1.0,0.0,3,March,Female,Yes,"No, never",413.92780000000005,1574.0
1.0,1.0,9,September,Female,Yes,"No, never",456.5304,1574.0
1.0,1.0,7,July,Female,Yes,"No, never",632.767,1574.0
1.0,0.0,8,August,Female,Yes,"Yes, once",412.43819999999994,1574.0
1.0,1.0,11,November,Female,Yes,"No, never",444.2411,1574.0
1.0,1.0,2,February,Female,Yes,"No, never",562.9372000000001,1574.0
1.0,0.0,1,January,Female,Yes,"No, never",543.0844000000001,1574.0
1.0,0.0,8,August,Female,Yes,"No, never",493.19360000000006,1574.0
1.0,1.0,9,September,Male,Yes,"No, never",436.2452,1574.0
1.0,1.0,7,July,Male,Yes,"No, never",332.39969999999994,1574.0
1.0,1.0,1,January,Female,Yes,"No, never",578.2852,1574.0
1.0,1.0,1,January,Female,Yes,"No, never",381.6979,1574.0
1.0,1.0,7,July,Female,Yes,"No, never",434.4518,1574.0
1.0,0.0,12,December,Female,Yes,"No, never",502.20950000000005,1574.0
1.0,1.0,2,February,Male,Yes,"No, never",408.4008,1574.0
1.0,0.0,5,May,Female,Yes,"No, never",436.2166,965.0
1.0,1.0,8,August,Male,Yes,"No, never",502.6926,965.0
1.0,0.0,10,October,Male,Yes,"Yes, once",422.5162,965.0
1.0,1.0,5,May,Male,Yes,"No, never",529.0145,965.0
1.0,,11,November,Female,Yes,"No, never",356.192,965.0
1.0,0.0,2,February,Female,Yes,"Yes, once",445.94719999999995,965.0
1.0,1.0,8,August,Female,Yes,"Yes, once",396.7748,965.0
1.0,0.0,7,July,Male,Yes,,192.42329999999998,965.0
1.0,1.0,10,October,Male,Yes,"No, never",486.5963,965.0
1.0,0.0,2,February,Female,Yes,"No, never",461.40960000000007,965.0
1.0,0.0,9,September,Male,Yes,"Yes, once",444.7468,965.0
1.0,1.0,10,October,Female,Yes,"No, never",541.3082999999999,965.0
1.0,1.0,1,January,Female,Yes,"Yes, once",454.7413,965.0
1.0,0.0,4,April,Female,Yes,"No, never",513.2307,965.0
1.0,1.0,7,July,Female,No,"Yes, once",362.8061,965.0
1.0,1.0,7,July,Male,Yes,"Yes, once",482.1698,965.0
0.0,0.0,9,September,Male,Yes,"Yes, twice or more",486.7375,965.0
1.0,1.0,4,April,Female,Yes,"No, never",318.1998,965.0
1.0,1.0,9,September,Female,Yes,"Yes, once",476.4036,965.0
1.0,0.0,4,April,Female,Yes,"No, never",535.6357,965.0
1.0,0.0,7,July,Male,Yes,"No, never",537.4945,965.0
,,12,December,Female,Yes,"No, never",526.4798,965.0
1.0,0.0,9,September,Male,Yes,"No, never",438.5777999999999,965.0
1.0,1.0,8,August,Female,Yes,"No, never",596.3552000000001,965.0
1.0,1.0,4,April,Male,Yes,"No, never",456.98699999999997,965.0
1.0,1.0,9,September,Female,Yes,"No, never",400.848,965.0
1.0,0.0,12,December,Female,Yes,"Yes, once",309.7034,965.0
1.0,1.0,5,May,Male,Yes,"No, never",604.1056000000001,965.0
1.0,0.0,12,December,Female,Yes,"No, never",435.32,965.0
1.0,1.0,9,September,Male,Yes,"No, never",457.80779999999993,965.0
1.0,1.0,11,November,Male,Yes,"Yes, once",386.89799999999997,965.0
1.0,0.0,12,December,Male,Yes,"No, never",509.61320000000006,1261.0
1.0,1.0,7,July,Male,Yes,"No, never",455.8352,1261.0
1.0,1.0,3,March,Male,Yes,"No, never",595.9118000000001,1261.0
1.0,1.0,2,February,Female,Yes,"No, never",521.1771,1261.0
1.0,1.0,2,February,Male,Yes,"No, never",581.8077000000001,1261.0
1.0,0.0,12,December,Male,Yes,"No, never",606.2621,1261.0
1.0,1.0,4,April,Male,Yes,"No, never",524.0415,1261.0
1.0,0.0,4,April,Male,Yes,"No, never",492.3487,1261.0
1.0,0.0,1,January,Male,Yes,"No, never",611.6506999999999,1261.0
1.0,1.0,3,March,Male,Yes,"No, never",552.7310999999999,1261.0
1.0,1.0,5,May,Female,Yes,"No, never",439.49899999999997,1261.0
1.0,1.0,6,June,Female,Yes,"No, never",544.0663000000001,1261.0
1.0,0.0,10,October,Male,Yes,"No, never",582.4268000000001,1261.0
1.0,1.0,4,April,Female,Yes,"Yes, once",430.9549,1261.0
1.0,1.0,7,July,Male,Yes,"No, never",634.3023,1261.0
1.0,1.0,11,November,Female,Yes,"No, never",597.0743,1261.0
1.0,0.0,10,October,Male,Yes,"No, never",605.5381,1261.0
0.0,0.0,9,September,Female,Yes,,389.64250000000004,1261.0
1.0,1.0,11,November,Male,Yes,"No, never",513.8715,1261.0
1.0,0.0,11,November,Female,Yes,"Yes, once",433.2246,1261.0
1.0,1.0,9,September,Female,Yes,"No, never",526.7537,1261.0
1.0,1.0,12,December,Female,Yes,"No, never",464.1427,1261.0
1.0,1.0,1,January,Male,Yes,"No, never",561.9276,1261.0
1.0,1.0,4,April,Female,Yes,"No, never",475.12210000000005,1261.0
1.0,1.0,4,April,Female,Yes,"No, never",500.2902,1261.0
1.0,1.0,3,March,Female,Yes,"No, never",586.6335999999999,1261.0
1.0,1.0,3,March,Female,Yes,"No, never",604.5784,1261.0
,,6,June,Female,,,435.7477999999999,1261.0
1.0,1.0,7,July,Male,Yes,"Yes, once",458.72079999999994,1261.0
1.0,0.0,8,August,Female,Yes,"Yes, once",392.8151,1261.0
1.0,1.0,7,July,Male,Yes,"No, never",516.7256,1261.0
1.0,1.0,8,August,Male,Yes,"No, never",570.989,1261.0
1.0,0.0,7,July,Male,Yes,"No, never",458.6387,1261.0
1.0,1.0,3,March,Male,Yes,"No, never",573.3303,1261.0
1.0,1.0,11,November,Male,Yes,"No, never",646.8330000000001,1261.0
1.0,0.0,7,July,Female,Yes,"No, never",534.3966,1261.0
1.0,0.0,7,July,Male,Yes,"Yes, once",475.515,1261.0
1.0,1.0,12,December,Male,Yes,"No, never",494.17840000000007,1261.0
1.0,1.0,10,October,Female,Yes,"No, never",571.0082,437.0
1.0,1.0,3,March,Female,Yes,"No, never",530.888,437.0
1.0,1.0,8,August,Female,Yes,"No, never",499.07640000000004,437.0
1.0,0.0,1,January,Female,Yes,"No, never",581.6782,437.0
1.0,0.0,4,April,Female,Yes,"Yes, once",420.43010000000004,437.0
,0.0,10,October,Female,Yes,"Yes, once",373.38800000000003,437.0
1.0,1.0,6,June,Female,Yes,"No, never",529.7738999999999,437.0
1.0,0.0,5,May,Female,Yes,"No, never",413.34080000000006,437.0
0.0,,3,March,Male,Yes,"No, never",432.01629999999994,437.0
1.0,1.0,10,October,Male,Yes,"No, never",419.35239999999993,437.0
1.0,0.0,4,April,Female,Yes,"No, never",534.9665,437.0
1.0,1.0,10,October,Male,Yes,"Yes, once",359.5086,437.0
1.0,0.0,12,December,Male,Yes,"No, never",475.4021000000001,437.0
0.0,0.0,7,July,Male,Yes,"Yes, once",477.60939999999994,437.0
1.0,1.0,7,July,Female,Yes,"No, never",504.2554,437.0
1.0,0.0,7,July,Female,Yes,"Yes, twice or more",443.78419999999994,437.0
0.0,0.0,6,June,Female,Yes,"No, never",505.52469999999994,437.0
1.0,1.0,9,September,Female,Yes,"No, never",490.6854,437.0
1.0,0.0,7,July,Female,Yes,"No, never",547.6913000000001,437.0
1.0,0.0,3,March,Male,Yes,"No, never",447.87569999999994,437.0
0.0,0.0,12,December,Female,Yes,"No, never",402.18870000000004,437.0
1.0,0.0,9,September,Male,Yes,"No, never",549.6374,437.0
1.0,1.0,3,March,Female,Yes,"No, never",359.3645,437.0
1.0,0.0,7,July,Male,Yes,"No, never",409.30870000000004,437.0
1.0,0.0,7,July,Male,Yes,"No, never",515.0257,437.0
1.0,1.0,2,February,Male,Yes,"No, never",598.5038999999999,437.0
1.0,0.0,7,July,Female,Yes,"No, never",524.1192000000001,437.0
1.0,1.0,8,August,Male,No,"No, never",480.04079999999993,437.0
0.0,0.0,8,August,Male,Yes,"No, never",354.2166,437.0
1.0,0.0,7,July,Male,Yes,"Yes, once",431.1884,437.0
1.0,0.0,7,July,Male,Yes,"No, never",498.7309,437.0
1.0,1.0,2,February,Male,Yes,"No, never",464.0502,437.0
1.0,1.0,2,February,Male,Yes,"Yes, once",432.4994,437.0
0.0,0.0,3,March,Female,Yes,"Yes, once",466.94140000000004,437.0
1.0,1.0,9,September,Female,Yes,"No, never",554.7456000000001,437.0
1.0,0.0,10,October,Male,Yes,"Yes, once",395.85499999999996,437.0
1.0,0.0,2,February,Male,Yes,"No, never",554.0343,580.0
1.0,0.0,5,May,Female,No,"Yes, once",496.1612,580.0
1.0,1.0,11,November,Male,Yes,"No, never",497.8723999999999,580.0
,,11,November,Male,Yes,"Yes, twice or more",283.50730000000004,580.0
1.0,0.0,11,November,Female,Yes,"No, never",583.3165999999999,580.0
1.0,1.0,3,March,Male,Yes,"No, never",541.7824,580.0
1.0,0.0,1,January,Female,Yes,"Yes, once",330.9464,580.0
1.0,1.0,1,January,Male,Yes,"No, never",438.3518,580.0
1.0,0.0,2,February,Male,Yes,"No, never",554.067,580.0
0.0,0.0,6,June,Female,Yes,"Yes, once",395.4166,580.0
1.0,1.0,11,November,Female,Yes,"No, never",540.4955,580.0
1.0,1.0,2,February,Male,Yes,"No, never",516.7861,580.0
,,2,February,Male,Yes,"No, never",423.6322,580.0
,,6,June,Female,Yes,"No, never",576.4048,580.0
1.0,0.0,6,June,Female,Yes,"No, never",430.99570000000006,580.0
1.0,0.0,6,June,Female,Yes,"No, never",561.523,580.0
0.0,0.0,3,March,Male,Yes,"No, never",398.15659999999997,580.0
1.0,,7,July,Female,Yes,"No, never",448.8532,580.0
1.0,0.0,7,July,Male,Yes,"Yes, twice or more",483.19479999999993,580.0
1.0,1.0,12,December,Male,Yes,"Yes, once",293.6272,580.0
1.0,0.0,2,February,Male,Yes,"No, never",510.7629,580.0
1.0,1.0,3,March,Male,Yes,"No, never",446.52430000000004,580.0
1.0,0.0,11,November,Female,Yes,"No, never",506.3266,580.0
1.0,0.0,10,October,Female,Yes,"No, never",491.85819999999995,580.0
1.0,0.0,10,October,Female,Yes,,426.2608,553.0
1.0,0.0,11,November,Female,Yes,"No, never",462.0987999999999,553.0
1.0,1.0,1,January,Male,Yes,"Yes, once",324.6705,553.0
1.0,,10,October,Male,Yes,"Yes, twice or more",334.5065,553.0
1.0,0.0,5,May,Male,Yes,"No, never",364.1885,553.0
0.0,0.0,8,August,Male,Yes,"No, never",362.57609999999994,553.0
1.0,1.0,8,August,Male,Yes,"No, never",444.6642,553.0
1.0,1.0,9,September,Male,Yes,"No, never",507.2955,553.0
1.0,0.0,2,February,Male,No,"Yes, once",445.2625,553.0
0.0,0.0,3,March,Male,Yes,"Yes, once",288.75480000000005,553.0
1.0,1.0,7,July,Female,Yes,"No, never",550.8524,553.0
1.0,,7,July,Male,Yes,"No, never",366.9076,553.0
1.0,0.0,6,June,Male,Yes,"Yes, once",406.0409,553.0
1.0,1.0,10,October,Female,Yes,"No, never",448.8352999999999,553.0
1.0,0.0,12,December,Male,Yes,"Yes, once",432.20140000000004,553.0
1.0,0.0,4,April,Female,Yes,"No, never",422.32300000000004,553.0
1.0,0.0,1,January,Female,Yes,"No, never",356.7697,553.0
1.0,1.0,9,September,Female,Yes,"Yes, once",283.2445,553.0
1.0,0.0,6,June,Male,Yes,"Yes, once",356.5195,553.0
1.0,0.0,12,December,Male,Yes,"No, never",420.92089999999996,553.0
,,5,May,Male,Yes,"Yes, twice or more",293.73380000000003,553.0
0.0,0.0,8,August,Female,Yes,"No, never",345.18460000000005,553.0
1.0,0.0,6,June,Female,Yes,"Yes, once",458.1134,553.0
1.0,0.0,12,December,Male,Yes,"Yes, once",358.25609999999995,553.0
1.0,1.0,5,May,Male,No,"No, never",368.239,553.0
1.0,1.0,8,August,Male,Yes,"No, never",260.9598,553.0
1.0,1.0,5,May,Female,Yes,"Yes, once",311.8824000000001,553.0
1.0,1.0,7,July,Female,Yes,"No, never",413.616,553.0
1.0,1.0,8,August,Male,Yes,"Yes, once",372.63550000000004,553.0
1.0,1.0,7,July,Male,Yes,"No, never",502.95419999999996,553.0
1.0,0.0,4,April,Male,Yes,"No, never",420.78690000000006,553.0
1.0,0.0,4,April,Male,Yes,"No, never",477.8508,532.0
1.0,0.0,7,July,Female,Yes,"Yes, once",481.12780000000004,532.0
1.0,1.0,9,September,Female,Yes,"Yes, once",510.2583000000001,532.0
1.0,0.0,6,June,Female,Yes,"No, never",531.9983,532.0
1.0,1.0,7,July,Female,Yes,"No, never",465.7826,532.0
1.0,0.0,5,May,Male,Yes,"No, never",416.2839,532.0
1.0,1.0,12,December,Female,Yes,"No, never",520.0278999999999,532.0
1.0,1.0,11,November,Male,Yes,"No, never",576.8969000000001,532.0
1.0,1.0,4,April,Male,Yes,"No, never",564.6497999999999,532.0
1.0,1.0,3,March,Male,Yes,"No, never",580.6442000000001,532.0
1.0,0.0,12,December,Female,Yes,"No, never",432.15279999999996,532.0
1.0,0.0,2,February,Female,Yes,"No, never",547.7609,532.0
1.0,1.0,1,January,Female,Yes,"Yes, once",516.4482,532.0
1.0,0.0,3,March,Male,Yes,"No, never",426.8918,532.0
1.0,1.0,7,July,Female,Yes,"Yes, once",536.8192999999999,532.0
1.0,,5,May,Male,Yes,"No, never",407.58140000000003,532.0
1.0,1.0,2,February,Male,Yes,"Yes, once",509.17870000000005,532.0
1.0,1.0,12,December,Male,Yes,"Yes, once",399.1832,532.0
1.0,1.0,7,July,Male,Yes,"No, never",550.7683,532.0
1.0,1.0,5,May,Male,Yes,"No, never",521.8857,532.0
1.0,0.0,8,August,Male,Yes,"Yes, once",410.39390000000003,532.0
1.0,1.0,11,November,Male,Yes,"No, never",497.01650000000006,532.0
0.0,0.0,4,April,Female,No,"No, never",375.8592,950.0
1.0,1.0,2,February,Female,Yes,"No, never",473.3977,950.0
1.0,1.0,12,December,Male,Yes,"No, never",540.9704,950.0
1.0,0.0,7,July,Male,Yes,"Yes, once",446.9041,950.0
1.0,0.0,4,April,Female,Yes,"No, never",571.6012000000001,950.0
1.0,1.0,6,June,Female,Yes,"No, never",524.5224000000001,950.0
1.0,0.0,12,December,Female,Yes,"No, never",499.63890000000004,950.0
1.0,1.0,3,March,Female,Yes,"No, never",564.7771,950.0
1.0,0.0,6,June,Female,Yes,"No, never",523.226,950.0
1.0,0.0,6,June,Male,Yes,"No, never",514.7113,950.0
1.0,0.0,8,August,Female,Yes,"No, never",484.6923999999999,950.0
0.0,,10,October,Male,Yes,"Yes, once",426.30559999999997,950.0
1.0,1.0,1,January,Male,Yes,"No, never",491.51419999999996,950.0
1.0,1.0,4,April,Female,Yes,"No, never",622.2791,950.0
1.0,1.0,9,September,Female,Yes,"No, never",539.4982,950.0
,,6,June,Female,,,478.87630000000007,950.0
1.0,0.0,10,October,Male,Yes,"No, never",530.0206999999999,950.0
0.0,0.0,4,April,Female,Yes,"No, never",463.41220000000004,950.0
1.0,1.0,5,May,Female,Yes,"No, never",491.7575,950.0
1.0,0.0,9,September,Male,Yes,"No, never",559.262,950.0
1.0,1.0,7,July,Female,Yes,"No, never",532.1983,950.0
0.0,1.0,4,April,Male,Yes,"No, never",506.6546,950.0
1.0,1.0,12,December,Male,Yes,"No, never",595.5397,950.0
0.0,0.0,2,February,Male,Yes,"No, never",491.77829999999994,950.0
0.0,1.0,9,September,Male,Yes,"Yes, once",451.8536000000001,950.0
1.0,,7,July,Male,No,"Yes, twice or more",417.36990000000003,950.0
1.0,0.0,1,January,Female,Yes,"No, never",473.1844,950.0
1.0,0.0,4,April,Female,Yes,"No, never",562.6107,950.0
1.0,1.0,11,November,Female,Yes,"No, never",410.9788,950.0
1.0,0.0,8,August,Female,Yes,"Yes, once",441.22290000000004,950.0
1.0,1.0,3,March,Male,Yes,"No, never",469.21060000000006,950.0
1.0,1.0,2,February,Male,Yes,"No, never",406.05010000000004,950.0
0.0,0.0,1,January,Female,Yes,"Yes, once",273.16700000000003,950.0
1.0,0.0,12,December,Female,Yes,"No, never",453.9313,950.0
1.0,1.0,6,June,Female,Yes,"No, never",457.06410000000005,950.0
1.0,1.0,4,April,Female,Yes,"No, never",516.7774999999999,950.0
1.0,0.0,4,April,Male,Yes,"Yes, once",491.1612,950.0
1.0,0.0,3,March,Female,Yes,"No, never",462.99760000000003,768.0
1.0,0.0,5,May,Female,Yes,"Yes, once",453.9017,768.0
1.0,1.0,5,May,Female,Yes,"No, never",510.3398,768.0
1.0,1.0,12,December,Male,Yes,"No, never",517.5345,768.0
,,5,May,Female,Yes,"No, never",502.2925,768.0
1.0,0.0,5,May,Male,Yes,"No, never",467.1678,768.0
1.0,1.0,6,June,Male,Yes,"No, never",586.6114999999999,768.0
1.0,1.0,8,August,Male,Yes,"No, never",501.0696,768.0
1.0,1.0,5,May,Male,Yes,"No, never",502.7192,768.0
1.0,1.0,5,May,Female,Yes,"No, never",520.3666,768.0
1.0,1.0,8,August,Male,Yes,"No, never",427.5938,768.0
1.0,1.0,11,November,Male,Yes,"Yes, once",335.94770000000005,768.0
1.0,,9,September,Male,Yes,"No, never",516.3055,768.0
1.0,0.0,7,July,Male,Yes,"No, never",595.7789999999999,768.0
1.0,0.0,1,January,Female,Yes,"Yes, once",306.2039,768.0
1.0,1.0,3,March,Female,Yes,"No, never",583.6043000000001,768.0
1.0,1.0,4,April,Female,Yes,"No, never",613.6787,768.0
1.0,1.0,1,January,Female,Yes,"Yes, once",425.1767,768.0
,,9,September,Male,,,477.1565999999999,768.0
1.0,0.0,12,December,Female,Yes,"No, never",581.6808,768.0
1.0,1.0,5,May,Female,Yes,"No, never",486.75780000000003,768.0
